ACCIONA,140.700,0.72,1.00,20.57,141.500,139.200,11976,7718,10:16
ACERINOX,11.655,0.26,0.03,29.01,11.715,11.630,103674,3153,10:16
ACS,25.730,0.78,0.20,-3.66,25.800,25.500,65620,7993,10:16
AENA,142.600,0.18,0.25,0.28,143.350,140.950,12563,21390,10:15
ALMIRALL,13.890,-0.07,-0.01,28.98,13.890,13.840,22984,2474,10:14
AMADEUS IT GROUP,61.240,0.99,0.60,2.82,61.360,60.920,38638,27589,10:15
ARCELORMITTAL,25.350,1.00,0.25,33.07,25.370,25.150,71054,27956,10:15
BANCO SABADELL,0.649,-0.31,-0.00,83.33,0.653,0.643,3012495,3652,10:15
BANKINTER,4.708,-0.70,-0.03,37.85,4.746,4.706,285024,4232,10:15
BBVA,5.086,-0.47,-0.02,27.74,5.122,5.061,1571613,33913,10:16
CAIXABANK,2.822,-0.28,-0.01,35.58,2.833,2.816,1043662,22747,10:16
CELLNEX TELECOM,49.900,0.28,0.14,9.67,50.080,49.660,123846,33898,10:15
CIE AUTOMOTIVE,24.400,-0.08,-0.02,11.84,24.640,24.280,20908,2990,10:00
COLONIAL,8.825,0.23,0.02,9.97,8.865,8.810,26789,4484,10:16
ENAGAS,19.265,0.65,0.12,7.24,19.325,19.165,64611,5047,10:15
ENDESA,23.700,1.67,0.39,6.04,23.740,23.400,206323,25092,10:15
FERROVIAL,24.220,-0.04,-0.01,8.04,24.360,24.200,56730,18101,10:15
FLUIDRA,32.800,0.00,0.00,56.56,33.150,32.600,45292,6417,10:12
GRIFOLS,23.510,0.26,0.06,-1.55,23.580,23.450,48092,10018,10:14
IAG,2.342,0.34,0.01,30.76,2.353,2.323,2283576,11643,10:16
IBERDROLA,11.415,-0.61,-0.07,-1.08,11.540,11.400,850300,73263,10:15
INDITEX,32.100,0.28,0.09,24.74,32.390,32.080,181850,100045,10:15
INDRA,7.090,0.00,0.00,1.58,7.175,7.075,487659,1252,10:16
MAPFRE,1.835,-0.14,-0.00,19.93,1.844,1.826,497737,5651,10:14
MELIÁ HOTELS,6.964,-0.29,-0.02,21.75,6.986,6.900,153113,1535,10:15
MERLIN PROP,9.026,0.29,0.03,19.97,9.072,8.980,39900,4240,10:16
NATURGY,21.740,0.93,0.20,18.14,21.770,21.630,54976,21079,10:15
PHARMA MAR,81.060,1.45,1.16,14.91,81.140,80.020,14986,1488,10:16
RED ELÉCTRICA,16.395,-0.21,-0.03,-0.69,16.455,16.365,66344,8871,10:14
REPSOL,10.940,0.76,0.08,32.61,10.952,10.822,364540,16710,10:15
SANTANDER,3.353,-0.64,-0.02,33.26,3.379,3.343,6165128,58143,10:16
SIEMENS GAMESA,26.880,1.24,0.33,-18.77,27.150,26.690,77637,18309,10:15
SOLARIA,16.560,1.41,0.23,-29.95,16.575,16.330,75030,2069,10:15
TELEFÓNICA,4.143,0.41,0.02,27.69,4.158,4.131,1271736,22555,10:16
VISCOFAN,58.800,0.17,0.10,1.29,59.000,58.700,2880,2734,10:14
