ACCIONA,136.900,138.000,135.500,17:08
ACERINOX,11.840,12.185,11.825,17:13
ACS,26.440,26.720,26.320,17:13
AENA,143.950,145.950,143.000,17:13
ALMIRALL,14.200,14.390,14.060,17:12
AMADEUS IT GROUP,59.960,61.620,59.640,17:13
ARCELORMITTAL,26.730,27.710,26.655,17:13
BANCO SABADELL,0.637,0.675,0.636,17:13
BANKINTER,4.758,4.835,4.750,17:13
BBVA,5.111,5.129,5.044,17:12
CAIXABANK,2.844,2.881,2.841,17:13
CELLNEX TELECOM,46.120,46.410,45.450,17:13
CIE AUTOMOTIVE,24.640,24.940,24.400,17:12
COLONIAL,8.710,8.770,8.465,17:13
ENAGAS,19.120,19.185,19.035,17:12
ENDESA,23.220,23.390,23.050,17:13
FERROVIAL,24.240,24.810,24.120,17:13
FLUIDRA,32.100,32.900,31.850,17:11
GRIFOLS,23.630,24.140,23.340,17:13
IAG,2.280,2.308,2.245,17:13
IBERDROLA,11.335,11.430,11.255,17:12
INDITEX,32.440,32.650,31.940,17:13
INDRA,8.190,8.300,8.115,17:12
MAPFRE,1.920,1.944,1.910,17:13
MELIÁ HOTELS,6.850,6.872,6.736,17:12
MERLIN PROP,8.944,8.966,8.796,17:13
NATURGY,21.600,22.140,21.600,17:13
PHARMA MAR,84.880,84.940,82.100,17:13
RED ELÉCTRICA,16.230,16.230,16.075,17:12
REPSOL,11.160,11.400,11.156,17:13
SANTANDER,3.358,3.397,3.337,17:13
SIEMENS GAMESA,26.560,26.630,25.580,17:13
SOLARIA,15.805,16.250,15.550,17:12
TELEFÓNICA,4.146,4.177,4.076,17:13
VISCOFAN,58.150,58.400,57.850,17:11
