ACCIONA,136.900,0.37,0.50,17.31,137.000,135.000,6687,7510,10:13
ACERINOX,11.865,-0.08,-0.01,31.34,11.900,11.670,97741,3210,10:13
ACS,26.140,-0.98,-0.26,-2.13,26.270,26.010,130410,8121,10:13
AENA,141.900,-1.36,-1.95,-0.21,143.450,141.650,19348,21285,10:13
ALMIRALL,14.140,-0.56,-0.08,31.30,14.160,14.030,34320,2519,10:12
AMADEUS IT GROUP,58.480,-2.17,-1.30,-1.81,59.420,58.260,54875,26345,10:13
ARCELORMITTAL,26.155,-2.30,-0.61,37.30,26.300,25.850,265143,28844,10:11
BANCO SABADELL,0.636,-0.56,-0.00,79.55,0.641,0.580,17917152,3576,10:13
BANKINTER,4.754,-0.02,-0.00,39.20,4.780,4.709,432492,4273,10:13
BBVA,5.090,-0.68,-0.03,27.84,5.107,5.036,2227780,33940,10:14
CAIXABANK,2.871,0.91,0.03,36.65,2.880,2.840,4222064,23142,10:13
CELLNEX TELECOM,46.090,0.20,0.09,1.30,46.130,45.580,97838,31310,10:13
CIE AUTOMOTIVE,24.460,-0.81,-0.20,12.12,24.600,24.400,10571,2998,10:13
COLONIAL,8.740,0.34,0.03,8.91,8.800,8.625,62527,4441,10:14
ENAGAS,19.040,-0.39,-0.07,5.98,19.115,18.960,65088,4988,10:13
ENDESA,23.130,-0.04,-0.01,3.49,23.130,22.940,170863,24489,10:13
FERROVIAL,23.960,-0.75,-0.18,6.88,24.050,23.870,82257,17907,10:13
FLUIDRA,32.000,-0.47,-0.15,52.74,32.150,31.700,59885,6260,10:14
GRIFOLS,23.520,-0.08,-0.02,-1.51,23.640,23.450,36729,10023,10:13
IAG,2.237,-2.10,-0.05,24.90,2.265,2.233,3512976,11121,10:14
IBERDROLA,11.335,0.22,0.02,-1.77,11.335,11.235,878007,72750,10:14
INDITEX,32.100,-1.35,-0.44,24.74,32.350,32.020,291035,100045,10:14
INDRA,8.095,-1.16,-0.09,15.97,8.170,8.085,73345,1430,10:13
MAPFRE,1.911,-0.37,-0.01,19.93,1.922,1.881,1001167,5883,10:13
MELIÁ HOTELS,6.760,-1.31,-0.09,18.18,6.844,6.742,104563,1490,10:12
MERLIN PROP,8.954,0.22,0.02,19.02,9.024,8.878,86535,4206,10:13
NATURGY,21.520,-0.28,-0.06,16.95,21.600,21.430,63135,20866,10:13
PHARMA MAR,82.940,-2.01,-1.70,17.58,84.140,82.740,9969,1522,10:14
RED ELÉCTRICA,16.170,-0.15,-0.02,-2.06,16.220,16.105,45519,8749,10:14
REPSOL,11.048,-1.16,-0.13,33.92,11.124,10.950,437515,16875,10:13
SANTANDER,3.368,-0.09,-0.00,33.83,3.378,3.321,5715660,58395,10:14
SIEMENS GAMESA,26.250,-1.02,-0.27,-20.67,26.440,25.950,134894,17880,10:13
SOLARIA,15.770,-1.00,-0.16,-33.29,15.870,15.515,144301,1970,10:14
TELEFÓNICA,4.130,-0.40,-0.02,27.27,4.175,4.110,2177307,22482,10:14
VISCOFAN,58.000,-0.34,-0.20,-0.09,58.050,57.700,3275,2697,10:13
