ACCIONA,134.500,-0.15,-0.20,15.25,135.700,134.400,7657,7378,10:16
ACERINOX,11.490,-0.30,-0.03,32.85,11.535,11.470,73294,3109,10:13
ACS,25.520,-0.74,-0.19,-4.45,25.720,25.480,52189,7928,10:17
AENA,142.600,-1.45,-2.10,0.28,144.850,141.900,12367,21390,10:17
ALMIRALL,14.140,0.14,0.02,31.30,14.190,14.050,44542,2519,10:15
AMADEUS IT GROUP,63.040,-0.41,-0.26,5.84,63.520,63.020,42647,28399,10:16
ARCELORMITTAL,27.210,-1.23,-0.34,42.83,27.530,27.155,81298,30007,10:15
BANCO SABADELL,0.645,0.72,0.00,82.32,0.649,0.641,2878696,3632,10:16
BANKINTER,4.656,-0.49,-0.02,36.33,4.681,4.650,137439,4185,10:17
BBVA,5.253,0.08,0.00,31.94,5.256,5.222,1170757,35026,10:17
CAIXABANK,2.856,-0.52,-0.02,37.21,2.869,2.853,509458,23021,10:16
CELLNEX TELECOM,49.750,0.85,0.42,9.34,49.890,49.460,70534,33797,10:17
CIE AUTOMOTIVE,25.380,-0.47,-0.12,16.33,25.500,25.320,7445,3110,10:13
COLONIAL,9.175,-0.38,-0.03,14.33,9.225,9.165,23571,4662,10:13
ENAGAS,19.305,0.10,0.02,7.46,19.355,19.270,51084,5058,10:16
ENDESA,21.800,-1.00,-0.22,-2.46,22.020,21.760,176563,23081,10:17
FERROVIAL,24.610,0.08,0.02,9.78,24.640,24.470,86293,18393,10:16
FLUIDRA,32.200,-2.42,-0.80,53.70,32.650,31.800,77281,6299,10:16
GRIFOLS,22.070,0.73,0.16,-7.58,22.150,21.910,89259,9405,10:14
IAG,2.376,-2.14,-0.05,32.66,2.439,2.363,6812817,11812,10:17
IBERDROLA,10.765,-0.09,-0.01,-6.71,10.795,10.735,485676,69091,10:17
INDITEX,31.760,-0.09,-0.03,23.42,31.940,31.680,116357,98985,10:17
INDRA,7.205,-0.28,-0.02,3.22,7.225,7.175,67904,1273,10:13
MAPFRE,1.873,-0.19,-0.00,22.41,1.878,1.867,214589,5768,10:17
MELIÁ HOTELS,7.102,0.17,0.01,24.16,7.190,7.058,309230,1565,10:15
MERLIN PROP,9.420,-1.09,-0.10,25.21,9.534,9.414,30056,4425,10:15
NATURGY,21.380,-0.09,-0.02,16.19,21.430,21.310,27899,20730,10:13
PHARMA MAR,75.580,3.14,2.30,7.14,75.900,73.200,39729,1387,10:17
RED ELÉCTRICA,16.515,-0.42,-0.07,0.03,16.570,16.485,74559,8936,10:15
REPSOL,11.308,-0.02,-0.00,37.07,11.388,11.260,291607,17272,10:15
SANTANDER,3.477,0.04,0.00,38.16,3.489,3.464,1713100,60285,10:17
SIEMENS GAMESA,26.010,0.54,0.14,-21.40,26.280,25.760,88835,17717,10:16
SOLARIA,15.545,1.40,0.22,-34.24,15.680,15.345,147130,1942,10:15
TELEFÓNICA,3.855,0.47,0.02,24.95,3.875,3.838,2347829,20985,10:17
VISCOFAN,57.550,0.61,0.35,-0.43,57.600,57.100,4247,2676,10:16
