ACCIONA,138.800,139.500,138.000,11:13
ACERINOX,11.715,11.830,11.690,11:16
ACS,25.830,26.090,25.770,11:15
AENA,143.450,144.150,143.050,11:15
ALMIRALL,14.030,14.030,13.890,11:13
AMADEUS IT GROUP,60.820,61.120,60.480,11:15
ARCELORMITTAL,25.500,25.750,25.435,11:13
BANCO SABADELL,0.643,0.645,0.634,11:15
BANKINTER,4.776,4.785,4.720,11:15
BBVA,5.130,5.141,5.078,11:15
CAIXABANK,2.812,2.819,2.777,11:15
CELLNEX TELECOM,49.650,49.960,49.210,11:14
CIE AUTOMOTIVE,24.460,24.780,24.440,11:05
COLONIAL,8.815,8.920,8.740,11:13
ENAGAS,19.130,19.145,18.930,11:16
ENDESA,23.300,23.340,23.180,11:13
FERROVIAL,24.400,24.520,24.350,11:15
FLUIDRA,32.600,32.850,32.450,11:13
GRIFOLS,23.480,23.480,23.170,11:15
IAG,2.320,2.334,2.286,11:15
IBERDROLA,11.480,11.490,11.425,11:14
INDITEX,32.160,32.350,32.010,11:15
INDRA,7.090,7.230,7.050,11:15
MAPFRE,1.856,1.880,1.852,11:15
MELIÁ HOTELS,7.018,7.032,6.828,11:15
MERLIN PROP,9.078,9.132,9.046,11:15
NATURGY,21.580,21.620,21.460,11:15
PHARMA MAR,81.040,81.400,80.280,11:15
RED ELÉCTRICA,16.280,16.335,16.245,11:15
REPSOL,10.968,11.088,10.968,11:16
SANTANDER,3.382,3.388,3.351,11:15
SIEMENS GAMESA,26.290,26.480,26.000,11:11
SOLARIA,16.380,16.620,16.285,11:11
TELEFÓNICA,4.138,4.175,4.123,11:15
VISCOFAN,59.200,59.250,58.750,11:14
